source_node_ref_id,original_reference,normalized_reference,snippet
ITAA1997:Section:2-1,ITAA1997:Division:3,ITAA1997:Division:D,Division 3 (What this Act is about)
ITAA1997:Section:2-5,TAA1953:Act,FAILED_NORMALIZATION,Taxation Administration Act 1953
ITAA1997:Section:3-5,Income Tax Act 1986:Section:1,ITAA1997:Section:I,Income Tax Act 1986
ITAA1997:Section:3-5,Medicare Levy Act 1986:Section:1,ITAA1997:Section:M,Medicare Levy Act 1986
ITAA1997:Section:3-15,ITAA1997:Section:750-1,ITAA1997:Section:750-1,section 750-1
ITAA1997:Section:9-5,ITAA1997:Section:148,ITAA1997:Section:148,section 148
ITAA1997:Section:9-5,ITAA1997:Section:23-AF,ITAA1997:Section:23-AF,section 23AF
ITAA1997:Section:9-5,ITAA1997:Section:23-AG,ITAA1997:Section:23-AG,section 23AF or 23AG
ITAA1997:Section:9-5,ITAA1997:Section:98,ITAA1997:Section:98,"sections 98, 99 and 99A"
ITAA1997:Section:9-5,ITAA1997:Section:99,ITAA1997:Section:99,"sections 98, 99 and 99A"
ITAA1997:Section:10-5,ITAA1997:Section:101,ITAA1997:Section:101,"97, 101"
ITAA1997:Section:10-5,ITAA1997:Section:119,ITAA1997:Section:119,119
ITAA1997:Section:10-5,ITAA1997:Section:21,ITAA1997:Section:21,"21, 21A, 15-2"
ITAA1997:Section:10-5,ITAA1997:Section:262,ITAA1997:Section:262,262
ITAA1997:Section:10-5,ITAA1997:Section:456,ITAA1997:Section:456,456 to 459A
ITAA1997:Section:10-5,ITAA1997:Section:457,ITAA1997:Section:457,456 to 459A
ITAA1997:Section:10-5,ITAA1997:Section:458,ITAA1997:Section:458,456 to 459A
ITAA1997:Section:10-5,ITAA1997:Section:459,ITAA1997:Section:459,456 to 459A
ITAA1997:Section:10-5,ITAA1997:Section:92,ITAA1997:Section:92,92(1)
ITAA1997:Section:10-5,ITAA1997:Section:94,ITAA1997:Section:94,94
ITAA1997:Section:10-5,ITAA1997:Section:97,ITAA1997:Section:97,"97, 101"
ITAA1997:Section:11-55,Boosting Cash Flow for Employers (Coronavirus Economic Response Package) Act 2020,ITAA1997:Section:C,Boosting Cash Flow for Employers (Coronavirus Economic Response Package) Act 2020
ITAA1997:Section:11-55,ITAA1997:Section:40-1135,ITAA1997:Section:40-1135,40-1135
